"Dewater","Spawn_Flows","Prop_dewater","Boards","Run"
29000,3500,NA,"in","Fall"
27000,3500,NA,"in","Fall"
25000,3500,NA,"in","Fall"
23000,3500,NA,"in","Fall"
21000,3500,NA,"in","Fall"
19000,3500,NA,"in","Fall"
17000,3500,NA,"in","Fall"
15000,3500,NA,"in","Fall"
14000,3500,NA,"in","Fall"
13000,3500,NA,"in","Fall"
12000,3500,NA,"in","Fall"
11000,3500,NA,"in","Fall"
10000,3500,NA,"in","Fall"
9000,3500,NA,"in","Fall"
8000,3500,NA,"in","Fall"
7500,3500,NA,"in","Fall"
7000,3500,NA,"in","Fall"
6500,3500,NA,"in","Fall"
6000,3500,NA,"in","Fall"
5500,3500,NA,"in","Fall"
5250,3500,NA,"in","Fall"
5000,3500,NA,"in","Fall"
4750,3500,NA,"in","Fall"
4500,3500,NA,"in","Fall"
4250,3500,NA,"in","Fall"
4000,3500,NA,"in","Fall"
3750,3500,NA,"in","Fall"
3500,3500,NA,"in","Fall"
3250,3500,0.01,"in","Fall"
29000,3750,NA,"in","Fall"
27000,3750,NA,"in","Fall"
25000,3750,NA,"in","Fall"
23000,3750,NA,"in","Fall"
21000,3750,NA,"in","Fall"
19000,3750,NA,"in","Fall"
17000,3750,NA,"in","Fall"
15000,3750,NA,"in","Fall"
14000,3750,NA,"in","Fall"
13000,3750,NA,"in","Fall"
12000,3750,NA,"in","Fall"
11000,3750,NA,"in","Fall"
10000,3750,NA,"in","Fall"
9000,3750,NA,"in","Fall"
8000,3750,NA,"in","Fall"
7500,3750,NA,"in","Fall"
7000,3750,NA,"in","Fall"
6500,3750,NA,"in","Fall"
6000,3750,NA,"in","Fall"
5500,3750,NA,"in","Fall"
5250,3750,NA,"in","Fall"
5000,3750,NA,"in","Fall"
4750,3750,NA,"in","Fall"
4500,3750,NA,"in","Fall"
4250,3750,NA,"in","Fall"
4000,3750,NA,"in","Fall"
3750,3750,NA,"in","Fall"
3500,3750,0.01,"in","Fall"
3250,3750,0.02,"in","Fall"
29000,4000,NA,"in","Fall"
27000,4000,NA,"in","Fall"
25000,4000,NA,"in","Fall"
23000,4000,NA,"in","Fall"
21000,4000,NA,"in","Fall"
19000,4000,NA,"in","Fall"
17000,4000,NA,"in","Fall"
15000,4000,NA,"in","Fall"
14000,4000,NA,"in","Fall"
13000,4000,NA,"in","Fall"
12000,4000,NA,"in","Fall"
11000,4000,NA,"in","Fall"
10000,4000,NA,"in","Fall"
9000,4000,NA,"in","Fall"
8000,4000,NA,"in","Fall"
7500,4000,NA,"in","Fall"
7000,4000,NA,"in","Fall"
6500,4000,NA,"in","Fall"
6000,4000,NA,"in","Fall"
5500,4000,NA,"in","Fall"
5250,4000,NA,"in","Fall"
5000,4000,NA,"in","Fall"
4750,4000,NA,"in","Fall"
4500,4000,NA,"in","Fall"
4250,4000,NA,"in","Fall"
4000,4000,NA,"in","Fall"
3750,4000,0.01,"in","Fall"
3500,4000,0.02,"in","Fall"
3250,4000,0.03,"in","Fall"
29000,4250,NA,"in","Fall"
27000,4250,NA,"in","Fall"
25000,4250,NA,"in","Fall"
23000,4250,NA,"in","Fall"
21000,4250,NA,"in","Fall"
19000,4250,NA,"in","Fall"
17000,4250,NA,"in","Fall"
15000,4250,NA,"in","Fall"
14000,4250,NA,"in","Fall"
13000,4250,NA,"in","Fall"
12000,4250,NA,"in","Fall"
11000,4250,NA,"in","Fall"
10000,4250,NA,"in","Fall"
9000,4250,NA,"in","Fall"
8000,4250,NA,"in","Fall"
7500,4250,NA,"in","Fall"
7000,4250,NA,"in","Fall"
6500,4250,NA,"in","Fall"
6000,4250,NA,"in","Fall"
5500,4250,NA,"in","Fall"
5250,4250,NA,"in","Fall"
5000,4250,NA,"in","Fall"
4750,4250,NA,"in","Fall"
4500,4250,NA,"in","Fall"
4250,4250,NA,"in","Fall"
4000,4250,0.01,"in","Fall"
3750,4250,0.02,"in","Fall"
3500,4250,0.03,"in","Fall"
3250,4250,0.05,"in","Fall"
29000,4500,NA,"in","Fall"
27000,4500,NA,"in","Fall"
25000,4500,NA,"in","Fall"
23000,4500,NA,"in","Fall"
21000,4500,NA,"in","Fall"
19000,4500,NA,"in","Fall"
17000,4500,NA,"in","Fall"
15000,4500,NA,"in","Fall"
14000,4500,NA,"in","Fall"
13000,4500,NA,"in","Fall"
12000,4500,NA,"in","Fall"
11000,4500,NA,"in","Fall"
10000,4500,NA,"in","Fall"
9000,4500,NA,"in","Fall"
8000,4500,NA,"in","Fall"
7500,4500,NA,"in","Fall"
7000,4500,NA,"in","Fall"
6500,4500,NA,"in","Fall"
6000,4500,NA,"in","Fall"
5500,4500,NA,"in","Fall"
5250,4500,NA,"in","Fall"
5000,4500,NA,"in","Fall"
4750,4500,NA,"in","Fall"
4500,4500,NA,"in","Fall"
4250,4500,0.01,"in","Fall"
4000,4500,0.02,"in","Fall"
3750,4500,0.03,"in","Fall"
3500,4500,0.04,"in","Fall"
3250,4500,0.06,"in","Fall"
29000,4750,NA,"in","Fall"
27000,4750,NA,"in","Fall"
25000,4750,NA,"in","Fall"
23000,4750,NA,"in","Fall"
21000,4750,NA,"in","Fall"
19000,4750,NA,"in","Fall"
17000,4750,NA,"in","Fall"
15000,4750,NA,"in","Fall"
14000,4750,NA,"in","Fall"
13000,4750,NA,"in","Fall"
12000,4750,NA,"in","Fall"
11000,4750,NA,"in","Fall"
10000,4750,NA,"in","Fall"
9000,4750,NA,"in","Fall"
8000,4750,NA,"in","Fall"
7500,4750,NA,"in","Fall"
7000,4750,NA,"in","Fall"
6500,4750,NA,"in","Fall"
