"Date","count","run","byDay","year","doy","prop","cumul_prop","pred","tempF","tempC","incubDays","EmergDate"
2003-04-22,0,"winter",22,"2003",112,0,0,0.00102635191452768,51.5470588235294,10.859477124183,85.6477615116409,108
2004-04-22,0,"winter",22,"2004",113,0,0,0.000899027414944765,49.4458333333333,9.69212962962963,97.8946649874858,120
2005-04-22,0,"winter",22,"2005",112,0,0,0.00092448572194813,50.4166666666667,10.2314814814815,91.932422885127,114
2006-04-22,0,"winter",22,"2006",112,0,0,0.00158012134310068,48.8,9.33333333333333,102.185636234309,124
2007-04-22,0,"winter",22,"2007",112,0,0,0.00118879915072503,52.3333333333333,11.2962962962963,81.6463638766874,104
2008-04-22,0,"winter",22,"2008",113,0,0,0.00208267109914258,47.75,8.75,109.784422743394,132
2009-04-22,0,"winter",22,"2009",112,0,0,0.00195177471037736,49.275,9.59722222222222,99.0032041332111,121
2010-04-22,0,"winter",22,"2010",112,0,0,0.00213976320327983,50.3958333333333,10.2199074074074,92.0546239197933,114
2011-04-22,0,"winter",22,"2011",112,0,0,0.000570093787299309,50.6208333333333,10.3449074074074,90.7475333976862,113
2012-04-22,0,"winter",22,"2012",113,0,0,0.000587967952091081,51.5916666666667,10.8842592592593,85.4130120146333,107
2013-04-22,0,"winter",22,"2013",112,0,0,0.000552387034245348,53.4083333333333,11.8935185185185,76.6112706806602,99
2014-04-22,0,"winter",22,"2014",112,0,0,0.00103478924226449,51.3666666666667,10.7592592592593,86.6069467709955,109
2015-04-22,0,"winter",22,"2015",112,0,0,0.00112178902281697,52.7916666666667,11.5509259259259,79.4410699233274,101
2016-04-22,0,"winter",22,"2016",113,0,0,0.00144317076380111,52.9916666666667,11.662037037037,78.5064764491938,101
2017-04-22,0,"winter",22,"2017",112,0,0,0.000450561580964035,50.3166666666667,10.1759259259259,92.5212012522204,115
2018-04-22,0,"winter",22,"2018",112,0,0,0.000222728162689648,52.7916666666667,11.5509259259259,79.4410699233274,101
2019-04-22,0,"winter",22,"2019",112,0,0,0.000943005085064069,52.0333333333333,11.1296296296296,83.1395657029059,105
2020-04-22,0,"winter",22,"2020",113,0,0,0.000664321566493722,52.1625,11.2013888888889,82.4917140027409,104
2021-04-22,0,"winter",22,"2021",112,0,0,0.00106509527710694,55.0458333333333,12.8032407407407,69.7866329467516,92
2022-04-22,0,"winter",22,"2022",112,0,0,0.00095514597502634,51.75,10.9722222222222,84.5874722749878,107
2023-04-22,0,"winter",22,"2023",112,0,0,0.00141480681064514,49.4916666666667,9.71759259259259,97.6003972805358,120
2003-04-23,0,"winter",23,"2003",113,0,0,0.00113060514728726,51.4875,10.8263888888889,85.9626918177193,109
2004-04-23,0,"winter",23,"2004",114,0,0,0.00099036029264514,49.7166666666667,9.84259259259259,96.1747451905625,119
2005-04-23,2,"winter",23,"2005",113,0.000277546489036914,0.000277546489036914,0.00101840229209382,50.1625,10.0902777777778,93.4399651285102,116
2006-04-23,0,"winter",23,"2006",113,0,0,0.00174052652974641,48.7333333333333,9.2962962962963,102.644456855947,126
2007-04-23,0,"winter",23,"2007",113,0,0,0.00130953157423163,51.6375,10.9097222222222,85.1728101790511,108
2008-04-23,0,"winter",23,"2008",114,0,0,0.00229397514499927,47.775,8.76388888888889,109.593849682404,133
2009-04-23,0,"winter",23,"2009",113,0,0,0.00214982685557492,49.5458333333333,9.74768518518519,97.2543218784086,120
2010-04-23,0,"winter",23,"2010",113,0,0,0.00235684603041159,50.0708333333333,10.0393518518519,93.9927137120744,117
2011-04-23,0,"winter",23,"2011",113,0,0,0.000628031053571251,51.125,10.625,87.9172194151499,111
2012-04-23,0,"winter",23,"2012",114,0,0,0.000647720549662471,51.4458333333333,10.8032407407407,86.1840399532766,109
2013-04-23,0,"winter",23,"2013",113,0,0,0.000608525901274634,53.4166666666667,11.8981481481481,76.5740643137398,100
2014-04-23,0,"winter",23,"2014",113,0,0,0.00113989853128876,51.075,10.5972222222222,88.1919948104868,111
2015-04-23,0,"winter",23,"2015",113,0,0,0.00123572443114861,52.775,11.5416666666667,79.5196997311486,103
2016-04-23,0,"winter",23,"2016",114,0,0,0.00158969562012238,52.3208333333333,11.2893518518519,81.7077802548488,105
2017-04-23,0,"winter",23,"2017",113,0,0,0.000496357108449003,50.1,10.0555555555556,93.8163120598153,117
2018-04-23,0,"winter",23,"2018",113,0,0,0.000245372159500208,53.1041666666667,11.724537037037,77.9879475803987,101
2019-04-23,0,"winter",23,"2019",113,0,0,0.00103880104240986,52.275,11.2638888888889,81.9335633649468,105
2020-04-23,0,"winter",23,"2020",114,0,0,0.00073182796420965,52.4625,11.3680555555556,81.0157342526475,104
2021-04-23,0,"winter",23,"2021",113,0,0,0.00117327930285675,55.5875,13.1041666666667,67.7276181088907,91
2022-04-23,0,"winter",23,"2022",113,0,0,0.00105217397587993,52.0666666666667,11.1481481481482,82.9716545974779,106
2023-04-23,0,"winter",23,"2023",113,0,0,0.00155845637464362,50.0458333333333,10.025462962963,94.1443086347974,117
2003-04-24,0,"winter",24,"2003",114,0,0,0.00124543485598706,50.8208333333333,10.4560185185185,89.608745991211,114
2004-04-24,2,"winter",24,"2004",115,0.00066006600660066,0.00066006600660066,0.00109096161505924,49.875,9.93055555555556,95.1900226071873,119
2005-04-24,4,"winter",24,"2005",114,0.000555092978073827,0.000832639467110741,0.0011218489368674,50.4333333333333,10.2407407407407,91.834835943208,116
2006-04-24,0,"winter",24,"2006",114,0,0,0.00191718389673391,48.9416666666667,9.41203703703704,101.220729768008,125
2007-04-24,0,"winter",24,"2007",114,0,0,0.00144250766951431,52.4958333333333,11.3865740740741,80.8541688577497,105
2008-04-24,0,"winter",24,"2008",115,0,0,0.00252666343648313,47.9458333333333,8.8587962962963,108.304689403736,132
2009-04-24,0,"winter",24,"2009",114,0,0,0.00236792823555873,49.6083333333333,9.78240740740741,96.8572705600278,121
2010-04-24,0,"winter",24,"2010",114,0,0,0.00259589500782085,50.5041666666667,10.2800925925926,91.4218079801474,115
2011-04-24,0,"winter",24,"2011",114,0,0,0.000691852269491493,51.4916666666667,10.8287037037037,85.9406035882419,110
2012-04-24,0,"winter",24,"2012",115,0,0,0.000713541205529985,51.2541666666667,10.6967592592593,87.2132568725015,111
2013-04-24,0,"winter",24,"2013",114,0,0,0.000670366311461968,52.4833333333333,11.3796296296296,80.9146995943616,105
2014-04-24,0,"winter",24,"2014",114,0,0,0.00125567093432006,51.075,10.5972222222222,88.1919948104868,112
2015-04-24,0,"winter",24,"2015",114,0,0,0.00136121601166675,52.625,11.4583333333333,80.2326143887326,104
2016-04-24,0,"winter",24,"2016",115,0,0,0.00175107102985384,52.2958333333333,11.275462962963,81.8308196262105,106
2017-04-24,0,"winter",24,"2017",114,0,0,0.000546804792561742,49.9625,9.97916666666667,94.6522638193205,119
2018-04-24,0,"winter",24,"2018",114,0,0,0.000270317670178358,52.75,11.5277777777778,79.6378619715477,104
2019-04-24,0,"winter",24,"2019",114,0,0,0.0011443173654572,52.5666666666667,11.4259259259259,80.5124319438049,105
2020-04-24,0,"winter",24,"2020",115,0,0,0.000806188628935264,53.2791666666667,11.8217592592593,77.1914295439213,101
2021-04-24,0,"winter",24,"2021",114,0,0,0.00129243759648728,55.8916666666667,13.2731481481481,66.6108413033069,91
2022-04-24,0,"winter",24,"2022",114,0,0,0.00115904707998705,52.5125,11.3958333333333,80.7735660697394,105
2023-04-24,0,"winter",24,"2023",114,0,0,0.00171666603486936,50.1416666666667,10.0787037037037,93.5651638580499,118
2003-04-25,0,"winter",25,"2003",115,0,0,0.00137191120518222,50.2333333333333,10.1296296296296,93.0161507539617,118
2004-04-25,9,"winter",25,"2004",116,0.00297029702970297,0.00363036303630363,0.00120176977979792,49.8416666666667,9.91203703703704,95.396080658417,120
2005-04-25,0,"winter",25,"2005",115,0,0.000832639467110741,0.00123579042288948,50.0125,10.0069444444444,94.3470023398,119
2006-04-25,0,"winter",25,"2006",115,0,0,0.0021117334401779,48.6208333333333,9.2337962962963,103.425704347345,128
2007-04-25,1,"winter",25,"2007",115,0.000632511068943707,0.000632511068943707,0.00158896530912715,53.2666666666667,11.8148148148148,77.2479209526927,102
2008-04-25,0,"winter",25,"2008",116,0,0,0.00278288852102921,48.2875,9.04861111111111,105.793225323659,131
2009-04-25,0,"winter",25,"2009",115,0,0,0.00260809831468765,48.7708333333333,9.31712962962963,102.385993598944,127
2010-04-25,0,"winter",25,"2010",115,0,0,0.00285912063661729,50.6375,10.3541666666667,90.6518134711687,116
2011-04-25,0,"winter",25,"2011",115,0,0,0.000762154122414148,51.3083333333333,10.7268518518519,86.9205432757637,112
